question_id,part,Q1,median,Q3,n_all,IQR,LB
Q1,Part 1,29.180432500000148,47.19703500000005,58.81228000000005,10,29.631847499999903,-15.267338749999706
Q1,Part 2,41.26454750000006,55.88318499999972,102.34915749999976,20,61.0846099999997,-50.36236749999948
Q10,Part 1,30.79248000000007,43.92865000000006,67.80768,9,37.015199999999936,-24.730319999999836
Q10,Part 2,51.13778750000009,55.379059999999924,71.18301249999999,18,20.045224999999903,21.069950000000233
Q11,Part 1,38.39781500000001,57.284730000000195,79.37762249999997,10,40.979807499999964,-23.071896249999938
Q11,Part 2,20.520814999999573,47.602044999999634,61.47305249999971,18,40.95223750000014,-40.907541250000634
Q12,Part 1,37.44199000000009,40.09997500000014,85.02673249999987,8,47.58474249999978,-33.935123749999576
Q12,Part 2,31.59237499999989,47.07691,69.51840499999986,19,37.92602999999997,-25.296670000000063
Q13,Part 1,27.524037499999935,52.164310000000114,70.46907249999992,10,42.94503499999999,-36.89351500000005
Q13,Part 2,26.28783999999996,45.91075999999998,83.47928000000002,19,57.19144000000006,-59.499320000000125
Q14,Part 1,29.832994999999926,49.18688999999972,59.34827750000011,10,29.515282500000183,-14.439928750000348
Q14,Part 2,30.310209999999813,41.82409999999993,60.97229000000016,19,30.662080000000344,-15.682910000000703
Q15,Part 1,25.182497500000025,42.082430000000045,75.90832000000023,10,50.725822500000206,-50.906236250000276
Q15,Part 2,26.16833500000007,35.658935000000156,48.63952500000019,18,22.47119000000012,-7.538450000000111
Q2,Part 1,39.895759999999996,69.40258999999992,89.13642999999999,9,49.240669999999994,-33.965244999999996
Q2,Part 2,32.77588,42.12738000000002,51.10938000000033,21,18.333500000000328,5.275629999999509
Q3,Part 1,52.837279999999964,62.73729999999978,73.24707000000035,13,20.409790000000385,22.222594999999387
Q3,Part 2,36.34613000000002,46.81736000000001,64.12412999999998,17,27.777999999999963,-5.320869999999928
Q4,Part 1,43.77923250000004,58.922610000000006,71.5749350000001,8,27.795702500000054,2.085678749999964
Q4,Part 2,28.004517499999793,43.482825000000034,55.94320750000011,22,27.93869000000032,-13.903517500000689
Q5,Part 1,11.320309999999154,23.354000000000042,30.572749999999814,9,19.25244000000066,-17.558350000001838
Q5,Part 2,32.38036999999986,49.84936999999991,75.79260999999997,21,43.41224000000011,-32.73799000000031
Q6,Part 1,47.4044150000002,72.89221000000003,90.020685,11,42.6162699999998,-16.519989999999503
Q6,Part 2,46.85309000000001,63.614640000000094,79.84953499999979,18,32.99644499999978,-2.641577499999663
Q7,Part 1,29.043940000000475,30.711919999999736,42.34033000000022,9,13.296389999999747,9.099355000000855
Q7,Part 2,37.84625000000028,55.210080000000005,75.82931500000001,19,37.983064999999726,-19.128347499999308
Q8,Part 1,38.59122999999988,48.107115000000135,55.900112500000034,8,17.308882500000152,12.627906249999654
Q8,Part 2,39.712009999999935,54.41406500000002,75.191145,20,35.47913500000007,-13.50669250000017
Q9,Part 1,44.750212499999975,60.768345000000124,64.95431249999973,10,20.204099999999755,14.444062500000342
Q9,Part 2,28.25097500000004,45.31493999999975,76.36204499999991,19,48.11106999999987,-43.915629999999766
