question_id,Question_s,Correct_Answer_s,Other_Answers_s,Question_pct,Correct_Answer_pct,Other_Answers_pct
Q1,22.521,0.797,3.325,84.529,2.991,12.480
Q10,15.305,0.782,3.963,76.333,3.902,19.766
Q11,13.339,0.552,3.061,78.691,3.254,18.055
Q12,13.074,0.377,2.725,80.826,2.328,16.845
Q13,13.885,0.661,2.939,79.410,3.781,16.808
Q14,13.971,0.581,3.089,79.195,3.295,17.509
Q15,10.505,0.710,3.000,73.904,4.993,21.103
Q2,9.751,0.850,3.971,66.918,5.834,27.248
Q3,16.248,0.429,3.675,79.831,2.110,18.059
Q4,14.100,0.671,2.961,79.515,3.785,16.700
Q5,17.111,0.437,2.606,84.901,2.166,12.933
Q6,15.742,0.868,6.107,69.296,3.821,26.883
Q7,10.758,0.325,3.690,72.818,2.202,24.980
Q8,12.970,0.481,3.602,76.054,2.823,21.123
Q9,13.795,0.811,4.281,73.038,4.293,22.668
